cases.0.submitter_id	file_id	file_name	file_size	id
MMRF_1251	ac62e067-2f25-404a-b86a-3443c9691c8b	a85db0eb-23b8-4e81-88ef-3edbc7420b4e.wxs.aliquot_ensemble_masked.maf.gz	22260	ac62e067-2f25-404a-b86a-3443c9691c8b
MMRF_2214	27ddf795-d95a-41df-9b77-aff2346b163e	85450d5c-977e-4713-9ba7-aa9b2391a6a7.wxs.aliquot_ensemble_masked.maf.gz	36210	27ddf795-d95a-41df-9b77-aff2346b163e
MMRF_2186	51133fc8-43da-4f4e-8dfe-48e4e3a4ef35	66cc7f27-ddd6-4821-accb-4c730c0fb0d6.wxs.aliquot_ensemble_masked.maf.gz	26243	51133fc8-43da-4f4e-8dfe-48e4e3a4ef35
MMRF_1024	2102bbbe-537c-4d1d-8976-e497262ad542	1989aeb6-43f6-4c5c-9d28-1fc4c786040b.wxs.aliquot_ensemble_masked.maf.gz	27917	2102bbbe-537c-4d1d-8976-e497262ad542
MMRF_1537	b6102b92-077d-456a-9bcd-edb8b148bbf0	8427d508-1708-4966-a8f4-56030da133c2.wxs.aliquot_ensemble_masked.maf.gz	39103	b6102b92-077d-456a-9bcd-edb8b148bbf0
MMRF_2314	0aac0cd3-9490-4dd2-aadd-38ab80919d9b	449702a1-1b7d-4040-9bb5-36c2472c5f4b.wxs.aliquot_ensemble_masked.maf.gz	40750	0aac0cd3-9490-4dd2-aadd-38ab80919d9b
MMRF_1970	a8158ff2-1464-41f3-90d5-1e2045d2e394	36ec2843-f69d-471a-85bc-4eda5024a1b1.wxs.aliquot_ensemble_masked.maf.gz	24820	a8158ff2-1464-41f3-90d5-1e2045d2e394
MMRF_1851	093d2fdc-64ed-4476-ab14-c8b5a0922ddb	ac6d1ca4-06c4-4e93-9fa9-b1dae984c80c.wxs.aliquot_ensemble_masked.maf.gz	25694	093d2fdc-64ed-4476-ab14-c8b5a0922ddb
MMRF_1219	000f237f-f77b-46db-ac6b-00b127be25cf	543dd9b8-4fed-4913-9af1-2dd15b907c4e.wxs.aliquot_ensemble_masked.maf.gz	24886	000f237f-f77b-46db-ac6b-00b127be25cf
MMRF_1533	7083bc69-4eaa-4110-b4db-15d6928f7cc2	fd3476f8-695a-4276-9253-83d38ce99d5e.wxs.aliquot_ensemble_masked.maf.gz	42154	7083bc69-4eaa-4110-b4db-15d6928f7cc2
MMRF_2696	15e9949f-3d55-4509-a852-841d719c215e	af7dd49a-cf44-4f7e-859a-61f0221635e8.wxs.aliquot_ensemble_masked.maf.gz	35130	15e9949f-3d55-4509-a852-841d719c215e
MMRF_1021	acf1d278-55c9-4407-ad78-d4e7dac9ca1e	2a56a291-052f-46c5-bb6b-dad97a90481f.wxs.aliquot_ensemble_masked.maf.gz	37441	acf1d278-55c9-4407-ad78-d4e7dac9ca1e
MMRF_1928	423e3eae-2a7a-4d83-a46c-3fe800d5842c	5ca47e6e-d255-4c72-ab65-b6d30c84a928.wxs.aliquot_ensemble_masked.maf.gz	42063	423e3eae-2a7a-4d83-a46c-3fe800d5842c
MMRF_2468	33ef520e-a3a0-4e1c-bf1b-84400e0f3170	d7e8d9d2-5e2a-4dab-b404-7ef2b44da0a3.wxs.aliquot_ensemble_masked.maf.gz	21326	33ef520e-a3a0-4e1c-bf1b-84400e0f3170
MMRF_2478	29910c8c-c16e-4f54-98d6-996286743d2b	2021cd80-f2e3-478b-9b36-fc8ace1301f8.wxs.aliquot_ensemble_masked.maf.gz	19655	29910c8c-c16e-4f54-98d6-996286743d2b
MMRF_1740	5be33bcc-17ca-4cff-a536-c848771d2c84	27e5166b-6cc5-4cd0-9de3-114a9c458620.wxs.aliquot_ensemble_masked.maf.gz	41452	5be33bcc-17ca-4cff-a536-c848771d2c84
MMRF_2072	7b219147-f7cd-44df-abbc-421062fe4949	209416ea-e66c-49ee-b9bb-3a5541cac852.wxs.aliquot_ensemble_masked.maf.gz	67400	7b219147-f7cd-44df-abbc-421062fe4949
MMRF_1462	783cf5c4-42e6-440c-9ad3-1672b7e0ebc3	6303b372-1d08-4963-a9af-1618b83a4ac6.wxs.aliquot_ensemble_masked.maf.gz	43753	783cf5c4-42e6-440c-9ad3-1672b7e0ebc3
MMRF_2402	8ccd3b5a-c1e9-4c22-8c29-64680ca5f682	a2ef89fb-5c23-4beb-bcba-ce38dbed7eba.wxs.aliquot_ensemble_masked.maf.gz	36646	8ccd3b5a-c1e9-4c22-8c29-64680ca5f682
MMRF_1772	ce506356-d79e-45c1-a674-39f86a3a6905	165d9c9a-06fd-4ff6-9da8-741e64f42653.wxs.aliquot_ensemble_masked.maf.gz	1766	ce506356-d79e-45c1-a674-39f86a3a6905
MMRF_2093	42daae7d-468d-45fd-9487-7134a7da0e30	35e8d5a0-8895-40f6-90b0-b740100a7484.wxs.aliquot_ensemble_masked.maf.gz	37363	42daae7d-468d-45fd-9487-7134a7da0e30
MMRF_1671	b88c2eee-a212-457d-b26b-365b54e1212e	3367c243-130a-415e-bd76-fae57ee7973c.wxs.aliquot_ensemble_masked.maf.gz	40492	b88c2eee-a212-457d-b26b-365b54e1212e
MMRF_1020	40999633-7157-4a4e-b294-e49240a3cf44	b08162f0-232b-453e-8e03-755d525f1a61.wxs.aliquot_ensemble_masked.maf.gz	65025	40999633-7157-4a4e-b294-e49240a3cf44
MMRF_2426	7b0f1ec3-fa3e-4973-86eb-982102baace9	22761381-2ee4-4ccb-aba6-a096110438c7.wxs.aliquot_ensemble_masked.maf.gz	61238	7b0f1ec3-fa3e-4973-86eb-982102baace9
MMRF_2452	203e33d6-2555-4938-8f4f-4b4e3115bf47	ff9d3fb5-3e82-4e4d-b2bd-ef4080f6c478.wxs.aliquot_ensemble_masked.maf.gz	18234	203e33d6-2555-4938-8f4f-4b4e3115bf47
MMRF_2762	1fe67e7e-09df-44cb-976a-91c705c9bbe1	53c8d7fa-be44-435f-a110-c4d453cf0267.wxs.aliquot_ensemble_masked.maf.gz	80749	1fe67e7e-09df-44cb-976a-91c705c9bbe1
MMRF_1671	331b7e47-9e91-4773-89b3-26693329e93d	8b0b0e40-da6c-424b-b5c7-19a203e0922f.wxs.aliquot_ensemble_masked.maf.gz	28626	331b7e47-9e91-4773-89b3-26693329e93d
MMRF_1703	6a58d89c-4e62-4c51-a190-28ee47a6ed1c	2347835a-6936-4512-95fe-9ea89a8eff16.wxs.aliquot_ensemble_masked.maf.gz	20405	6a58d89c-4e62-4c51-a190-28ee47a6ed1c
MMRF_2000	615e3e1d-dd37-4fe6-ae7e-9ced184c0191	b1ae661a-b7db-42ec-9844-8e84676781e3.wxs.aliquot_ensemble_masked.maf.gz	14829	615e3e1d-dd37-4fe6-ae7e-9ced184c0191
MMRF_1403	f0ecba27-cb2c-423a-be4c-85ddb49f2775	0307a9fa-9cae-46e0-a24b-40aa1bda5c8f.wxs.aliquot_ensemble_masked.maf.gz	93656	f0ecba27-cb2c-423a-be4c-85ddb49f2775
MMRF_1715	2d969401-c7cb-46bf-90c8-a8fde1d7f901	8eec6335-0a8b-4fbc-ad34-f94ad086a165.wxs.aliquot_ensemble_masked.maf.gz	71572	2d969401-c7cb-46bf-90c8-a8fde1d7f901
MMRF_1652	7db890e9-c864-4ee9-ae79-8f19873d289a	6ae6e6f3-7ba2-48f0-ad04-f42861b6a553.wxs.aliquot_ensemble_masked.maf.gz	41090	7db890e9-c864-4ee9-ae79-8f19873d289a
MMRF_2583	14aaa747-3384-4fb3-b56c-9529c89e7587	42a810fc-3d46-4bda-b5b2-5c9a445af915.wxs.aliquot_ensemble_masked.maf.gz	24616	14aaa747-3384-4fb3-b56c-9529c89e7587
MMRF_1674	84775778-e025-40e8-bf2c-017571d5f0dc	b87f3db0-38a1-4d69-a9a3-51c1543b8e1d.wxs.aliquot_ensemble_masked.maf.gz	36712	84775778-e025-40e8-bf2c-017571d5f0dc
MMRF_1639	2d7ba61a-3c4e-41b8-a8f4-f48dc1b4aa5b	7b41334b-3eb2-4a46-9f68-883f37d1369a.wxs.aliquot_ensemble_masked.maf.gz	39642	2d7ba61a-3c4e-41b8-a8f4-f48dc1b4aa5b
MMRF_1639	f1f9e8e9-06d1-473b-b38e-f164b8aa20ae	4eeb0ece-66f9-4fb2-a032-14a5fad284e6.wxs.aliquot_ensemble_masked.maf.gz	33077	f1f9e8e9-06d1-473b-b38e-f164b8aa20ae
MMRF_1639	c808c8db-b266-458c-87d1-391868aac4b3	c86dd007-0494-4150-b9a1-42c81e2a783f.wxs.aliquot_ensemble_masked.maf.gz	31965	c808c8db-b266-458c-87d1-391868aac4b3
MMRF_2567	ba93c5d5-79ea-4140-abe6-501fdb04680d	2124f431-2275-42b8-86b1-f9f60d65e879.wxs.aliquot_ensemble_masked.maf.gz	45051	ba93c5d5-79ea-4140-abe6-501fdb04680d
MMRF_2572	3a8ef808-34d8-4086-9f8e-4fb47d7b675a	7daedf80-0262-4572-90da-1abb581e93c6.wxs.aliquot_ensemble_masked.maf.gz	38581	3a8ef808-34d8-4086-9f8e-4fb47d7b675a
MMRF_1484	cf42e83f-3da3-4a41-a5c6-bcef92255c61	f6f88f36-84ef-4a2f-a3b4-ed9ad211ba43.wxs.aliquot_ensemble_masked.maf.gz	26358	cf42e83f-3da3-4a41-a5c6-bcef92255c61
MMRF_1484	8691e2e3-78c0-4a8c-8d3c-b561c568c40c	f71313d0-0d0d-49c7-90e1-97421c684e14.wxs.aliquot_ensemble_masked.maf.gz	28123	8691e2e3-78c0-4a8c-8d3c-b561c568c40c
MMRF_1597	4954b1b3-94b6-47f9-aeac-802912a7f568	38493385-d88a-441b-b199-e8d55000963b.wxs.aliquot_ensemble_masked.maf.gz	42378	4954b1b3-94b6-47f9-aeac-802912a7f568
