gene	candidate_category	validation_priority	mean_MM_sample_log_norm	mean_control_sample_log_norm	MM_minus_control_sample_log_norm	cohen_d_sample_level	mannwhitney_p_sample_level	MM_samples_above_control_median	mean_MM_pct_detected	mean_control_pct_detected	best_spatial_region_signature	best_region_high_minus_low_mean_log	region_positive_samples	region_samples_tested	candidate_score
POU2AF1	region_linked_plasma_secretory	high	0.7726186401606068	0.06711829079274961	0.7055003493678571	2.54869449413177	0.023809523809523808	6	0.29112138880166477	0.029939813036240225	plasma_secretory	0.7381872438824673	9	9	1.83943756173875
EEF2	region_linked_plasma_secretory	high	0.8278824352188815	0.12692841299435567	0.7009540222245259	1.9810455539847456	0.023809523809523808	6	0.313061065304543	0.05186478693970046	plasma_secretory	0.7102295063682313	9	9	1.7981883771238156
UBA52	region_linked_plasma_secretory	high	0.8810749428503705	0.11395508256103049	0.76711986028934	1.874969755469424	0.023809523809523808	6	0.32692871779411964	0.04566952661458997	plasma_secretory	0.6855960299153908	8	9	1.7959085985735568
ITM2C	region_linked_plasma_secretory	high	0.8791731292277348	0.15557550452686444	0.7235976247008704	1.3389956905526488	0.023809523809523808	6	0.3221256667862216	0.06316876021063493	plasma_secretory	0.6018986541193789	9	9	1.7386950916984558
CYBA	region_linked_plasma_secretory	high	0.8644666323813023	0.14054874295675357	0.7239178894245487	1.5464199357969688	0.047619047619047616	6	0.3174466030125914	0.05596960771759076	plasma_secretory	0.6208040025676956	8	9	1.6296236287634263
UBE2J1	region_linked_plasma_secretory	high	0.7461804172727634	0.07815802754255123	0.6680223897302122	2.7711731462296165	0.023809523809523808	6	0.28813412084667667	0.03338183991276576	plasma_secretory	0.7521781869667966	8	9	1.6256864717926527
S100A9	myeloid_inflammatory	high	1.203304373539478	0.5427309599688871	0.6605734135705909	0.591985707721762	0.38095238095238093	4	0.3474169326173237	0.18947368421052657	myeloid_inflammatory	1.4295114161493487	9	9	1.6048706494744955
FBXW7	region_linked_plasma_secretory	high	0.8013015067525666	0.19016689684791585	0.6111346099046507	2.181468056647853	0.023809523809523808	6	0.3062713358882992	0.07710450645525554	plasma_secretory	0.7363648454882835	9	9	1.591728978749447
COL1A1	stromal_ecm	high	0.6475837127800134	0.12808468595374703	0.5194990268262664	1.347244385433131	0.023809523809523808	6	0.2383515145375674	0.053833377959386385	stromal_ecm	0.9763657338752532	9	9	1.5400801131014608
PIM2	region_linked_plasma_secretory	high	0.6183755265361902	0.051532504491060456	0.5668430220451297	1.3391068978935643	0.023809523809523808	6	0.23320702923531988	0.022767048122407322	plasma_secretory	0.800857591973227	9	9	1.5312053395605285
TMSB10	region_linked_plasma_secretory	high	1.0851043425357858	0.4279003453196193	0.6572039972161665	1.2271574093215165	0.09523809523809523	5	0.37514978508462904	0.15899214969518502	plasma_secretory	0.7636118566879699	9	9	1.4488159521914485
OGT	region_linked_plasma_secretory	high	0.7151460168777944	0.15427548619198225	0.5608705306858122	1.8389734356622642	0.047619047619047616	6	0.28536961882385076	0.06344427758181116	plasma_secretory	0.7039739503046274	9	9	1.4335631606732342
TAPBP	region_linked_plasma_secretory	high	0.9133617123315488	0.3182181719781449	0.595143540353404	1.311110496214607	0.09523809523809523	6	0.3450226388033168	0.12820405359783008	plasma_secretory	0.565583096512191	9	9	1.3976200001635655
S100A8	myeloid_inflammatory	high	1.3731652841168318	0.8514449555457096	0.5217203285711222	0.4079400517160754	0.7142857142857142	4	0.38192366034349895	0.2758569172322545	myeloid_inflammatory	1.5787838798830245	9	9	1.3454039731264846
CIRBP	region_linked_plasma_secretory	high	0.7362870809517511	0.22088108915089066	0.5154059918008604	1.683920850501578	0.047619047619047616	6	0.2876735649510788	0.08939723784134085	plasma_secretory	0.667353312851407	9	9	1.2890458318389446
SEC11C	region_linked_plasma_secretory	high	0.5799119612219713	0.0654749291216017	0.5144370321003696	1.7174562682055063	0.023809523809523808	6	0.22774842977349616	0.028439601547553903	plasma_secretory	0.6052188636343772	9	9	1.2386760421193954
TENT5C	region_linked_plasma_secretory	high	0.6392434871563881	0.08791067485398203	0.551332812302406	2.0591950533173438	0.023809523809523808	6	0.2621490067731353	0.03820766248733976	plasma_secretory	0.5785309906291725	8	9	1.2087443477362285
CD79A	region_linked_plasma_secretory	high	0.7430861782642678	0.03852805092407772	0.7045581273401901	0.7679649051508672	0.16666666666666666	5	0.24595620424541811	0.01618412321447281	plasma_secretory	0.4511728725050506	8	9	1.1833745850683366
COL3A1	stromal_ecm	high	0.6397179317246958	0.2814318184267933	0.3582861132979025	0.9927120070285402	0.047619047619047616	6	0.241892660099868	0.10384210914368434	stromal_ecm	1.1231254159751591	9	9	1.1410295300005984
TNFRSF17	canonical_plasma_support	supporting_marker	0.5026411007691293	0.0752815903444794	0.42735951042464987	2.1449487431986354	0.023809523809523808	6	0.2160822681016957	0.03319712685828704	plasma_secretory	0.7464931356436391	9	9	1.1195706771130158
MTDH	region_linked_plasma_secretory	high	0.6143515893769764	0.08191134989571695	0.5324402394812595	1.4898574140408083	0.023809523809523808	6	0.2524445386563275	0.03536944551158919	plasma_secretory	0.5017696977363695	8	9	1.11055919098396
CLPTM1L	region_linked_plasma_secretory	high	0.5316777887589245	0.05816982276907213	0.47350796598985234	3.003079459085965	0.023809523809523808	6	0.2292656759135008	0.026695693003799027	plasma_secretory	0.5573720894528756	9	9	1.1061421355492964
GLCCI1	region_linked_plasma_secretory	high	0.5339101000677868	0.04598898322426248	0.48792111684352435	2.017996326268012	0.023809523809523808	6	0.2281909931069072	0.01923460498181973	plasma_secretory	0.5927179559760445	8	9	1.0793343387452317
SPARC	stromal_ecm	high	0.495550193138498	0.1193422011954024	0.3762079919430956	2.485697361961246	0.023809523809523808	6	0.20879086891342524	0.04885466264644132	stromal_ecm	0.8507958546015754	9	9	1.0444262879343964
HBB	erythroid_megak	medium	0.8431975632515208	0.2104962249119733	0.6327013383395476	0.7399240034776529	0.7142857142857142	3	0.2575519159810061	0.07402841321396843	erythroid_megak	1.1884090140136363	9	9	1.0384569840005682
CD38	region_linked_plasma_secretory	high	0.5318687324861866	0.09233279726484989	0.4395359352213367	1.692484083138541	0.023809523809523808	6	0.2216904698551285	0.039500653868690734	plasma_secretory	0.5655718042474914	9	9	1.032187600704115
SERF2	region_linked_plasma_secretory	high	0.6622414511370033	0.22628368000476093	0.4359577711322423	1.465367549543414	0.047619047619047616	6	0.27033486933244566	0.09002821142659795	plasma_secretory	0.5768914320049732	9	9	1.0311871110216269
PFN1	region_linked_plasma_secretory	high	0.7773323157867216	0.24375402309032598	0.5335782926963956	1.312157739797839	0.09523809523809523	5	0.29806860178863387	0.09757079050202382	plasma_secretory	0.5418831328492547	9	9	1.0283942119538436
RACK1	region_linked_plasma_secretory	high	0.5633690326170542	0.0926686132462572	0.470700419370797	1.3090443402380665	0.023809523809523808	6	0.2414947335835613	0.0395728316588862	plasma_secretory	0.44788230192261974	9	9	1.022278210071798
DDX5	region_linked_plasma_secretory	high	0.5330150410864252	0.081488217326968	0.4515268237594572	1.7024021550545665	0.023809523809523808	6	0.22390335426566768	0.03239152958707317	plasma_secretory	0.6078223438888276	8	9	1.0082984945911222
H1FX	region_linked_plasma_secretory	high	0.8352868951993182	0.44894942762591555	0.38633746757340265	1.1386258273979688	0.16666666666666666	6	0.31484070999076336	0.16887196979398297	plasma_secretory	0.729621454152483	9	9	1.0023263586868447
HNRNPA2B1	region_linked_plasma_secretory	high	0.6013086405088494	0.18865242039395738	0.412656220114892	1.7182196758674746	0.023809523809523808	6	0.25062462494648946	0.07720966871946522	plasma_secretory	0.5913542576984296	9	9	0.9850233492683605
IRF4	canonical_plasma_support	supporting_marker	0.519488754091638	0.060195918704601094	0.45929283538703686	1.7468458195252845	0.09523809523809523	5	0.22712347896460142	0.02660993337136247	plasma_secretory	0.7154805462355386	9	9	0.984884905164779
DUSP22	region_linked_plasma_secretory	high	0.5423911825472302	0.1148697672017946	0.4275214153454356	1.4723147335677143	0.023809523809523808	6	0.23561692988425875	0.05104366756306825	plasma_secretory	0.5289180829373105	9	9	0.9804678341468835
SRGN	region_linked_plasma_secretory	high	0.8515520302491181	0.3653494106036359	0.48620261964548217	0.820909539742987	0.26190476190476186	5	0.29760904016984036	0.1364090385219853	plasma_secretory	0.6068667778104758	9	9	0.9765785459909354
COL1A2	stromal_ecm	high	0.4628538412905794	0.10279536687986145	0.3600584744107179	1.2995497991380005	0.023809523809523808	6	0.17893447639458052	0.04086194251388257	stromal_ecm	0.7686861303727035	9	9	0.9552456447200877
TXNIP	region_linked_plasma_secretory	high	0.8107065968747681	0.27735391249930325	0.5333526843754648	0.9693667679771578	0.26190476190476186	4	0.295111480732076	0.10946072325250229	plasma_secretory	0.7740357879932108	9	9	0.9461867497043219
FRZB	region_linked_plasma_secretory	high	0.46680231676960005	0.047196596079850044	0.41960572068975	1.6970880431645758	0.023809523809523808	6	0.20004339242603195	0.021991718956759287	plasma_secretory	0.4940154806976135	9	9	0.940346163749648
LENG8	region_linked_plasma_secretory	high	0.6541911358066923	0.1941808374627766	0.4600102983439157	1.4822451598645305	0.09523809523809523	5	0.26536712119661193	0.08067381459621185	plasma_secretory	0.6299814691531558	9	9	0.9372603274002467
PDK1	region_linked_plasma_secretory	high	0.5097755793405458	0.1140724033568667	0.39570317598367916	2.079032647779477	0.023809523809523808	6	0.22070816082227687	0.0480661396911877	plasma_secretory	0.5673167364429483	9	9	0.9302883155742745
ERN1	region_linked_plasma_secretory	high	0.5220971681018035	0.12617204904460552	0.39592511905719796	1.3442135430159643	0.023809523809523808	6	0.22231817478840757	0.05647330003841719	plasma_secretory	0.5010035403578943	9	9	0.8914275081322123
GSTP1	region_linked_plasma_secretory	high	0.5626358072518279	0.14266219871618321	0.4199736085356447	4.495896222482795	0.023809523809523808	6	0.24091212532926443	0.058348370372957335	plasma_secretory	0.4082104338891075	9	9	0.8871168262469317
DERL3	region_linked_plasma_secretory	high	0.4840583244018269	0.06514413925065676	0.4189141851511701	1.952150097302223	0.023809523809523808	6	0.20266898902558664	0.028543211601221585	plasma_secretory	0.5090580242000904	8	9	0.8780080729911327
TXNDC11	region_linked_plasma_secretory	high	0.46362191812532644	0.07776802588942583	0.3858538922359006	1.5993292285135376	0.023809523809523808	6	0.20116883364384566	0.036270115678490616	plasma_secretory	0.4997028629511902	9	9	0.8679992803005603
H3F3A	region_linked_plasma_secretory	high	0.5617394896241369	0.14486143737097454	0.4168780522531623	1.626213090821221	0.023809523809523808	6	0.24318067647891206	0.05969491301800173	plasma_secretory	0.43461850061480745	8	9	0.8306402309203514
BTG2	region_linked_plasma_secretory	high	0.49852651755319494	0.1408802715648708	0.3576462459883242	1.917361970252272	0.023809523809523808	6	0.21724396878104738	0.060718207817708376	plasma_secretory	0.5312482512454554	9	9	0.821467783101185
SSR4	region_linked_plasma_secretory	high	0.4099466683803401	0.026635366243684056	0.38331130213665604	1.7637757961264542	0.023809523809523808	6	0.1727959291458129	0.010863145477052506	plasma_secretory	0.5390135590973139	8	9	0.8193351268660567
