comparison	label	rank	gene	mean_in_log_norm	mean_out_log_norm	log_norm_difference	pct_in	pct_out	score
cluster	0	29	SULF2	0.9977781347134038	0.1087962730693131	0.8889818616440908	0.3184713375796178	0.046943024796516936	0.24138374498699997
cluster	0	30	FRZB	1.1749432552226213	0.27150295294513244	0.9034403022774888	0.3732484076433121	0.11234147264811851	0.23571384021835082
cluster	1	1	USP17L3	0.6654939158625341	0.11013677332711877	0.5553571425354153	0.25391095066184954	0.04917517674783994	0.11370147437566121
cluster	1	2	TAF11L6	0.7177412129139034	0.168752529218949	0.5489886836949543	0.2701564380264702	0.0790259230164971	0.10492848984926387
cluster	1	3	MT-ND5	2.140663330937329	1.54240260655241	0.5982607243849192	0.5501403931006872	0.4430479183032328	0.06406922154849876
cluster	1	4	USP17L15	0.6299034047840045	0.26080923468039235	0.3690941701036122	0.25571600481347406	0.11798900235663907	0.05083423367266367
cluster	1	5	MT-ND3	2.0135239336852044	1.4992798617781466	0.5142440719070578	0.5314881668672287	0.4328358208955334	0.050731384095668394
cluster	1	6	TAF11L4	0.3812483579302091	0.05180278985046535	0.3294455680797438	0.1570397111913337	0.023095051060487013	0.044127474648055
cluster	1	7	FAM90A1	0.4049273654048001	0.0810196174160552	0.3239077479887449	0.1734857601283571	0.04791830322073858	0.04067227218762048
cluster	1	8	HBA2	1.9631009692715202	1.679992495876542	0.28310847339497824	0.5040112314480478	0.38774548311076834	0.03291581851989193
cluster	1	9	TAF11L8	0.40778766649491366	0.12679659044613745	0.2809910760487762	0.1676694745286781	0.060487038491752125	0.03011730803554495
cluster	1	10	MT-CO2	1.7155219976189287	1.3989384052445193	0.31658359237440936	0.4871640593662179	0.41759622937942814	0.02202403353091007
cluster	1	11	FOS	0.5442037582730299	0.29251620547324614	0.2516875527997838	0.19715202567187856	0.11044776119403095	0.021822384143734688
cluster	1	12	USP17L2	0.2671348361450331	0.06350275850731112	0.20363207763772195	0.11632571199358065	0.03362136684996068	0.016841257631262572
cluster	1	13	FAM90A26	0.21939428153240545	0.021708483557977106	0.19768579797442834	0.09406337745687825	0.011940298507462699	0.01623456639423219
cluster	1	14	FOXD4L5	0.41157089086830473	0.18931008449440886	0.22226080637389586	0.16626554352185902	0.09347996857816267	0.016177380579373582
cluster	1	15	USP17L1	0.22403734936116007	0.024606603868478762	0.1994307454926813	0.09727236261532184	0.01649646504320505	0.016109197470647717
cluster	1	16	FOSB	0.35231220841353983	0.1470615059293798	0.20525070248416002	0.137184115523464	0.06802827965436024	0.014194283893012815
cluster	1	17	HRNR	0.34906794700105537	0.16946027262054575	0.17960767438050962	0.14661050942639203	0.07368421052631634	0.013098122946620511
cluster	1	18	POTEM	0.221378209114416	0.05252680331633058	0.1688514057980854	0.09767348576012728	0.02922230950510598	0.011558077339192872
cluster	1	19	FLG	0.2337829179103423	0.06628506565755782	0.1674978522527845	0.10048134777376543	0.034564021995286694	0.011041010494142292
cluster	1	20	NBPF20	0.22374309231064765	0.06233750896300737	0.16140558334764027	0.09967910148415453	0.031893165750196316	0.01094102849990518
cluster	1	21	ELOA3	0.3077833457963923	0.13755819245294534	0.17022515334344698	0.13016446048936864	0.06834249803613558	0.010523653038594418
cluster	1	22	PPIAL4G	0.2440221581511985	0.08078604102678937	0.1632361171244091	0.10730044123545805	0.045090337784760535	0.010154935733199666
cluster	1	23	TAF11L13	0.16642533123529435	0.015009476233000656	0.15141585500229368	0.07240272763738402	0.008169677926158678	0.009725902141430019
cluster	1	24	AZU1	0.511953999146416	0.32744945904343725	0.1845045401029788	0.16927396710789988	0.11846032992930208	0.009375346758596812
cluster	1	25	CKS1B	0.3355815069337649	0.16735318342754296	0.1682283235062219	0.1397914159646994	0.0851531814611162	0.009191698589877612
cluster	1	26	TERF1	0.2016323772572014	0.058397287819019844	0.14323508943818156	0.08924989971921286	0.034406912804399024	0.007855440135800381
cluster	1	27	PRAMEF11	0.18312645776978426	0.04208879006033302	0.14103766770945125	0.07821901323706303	0.024194815396700674	0.00761944686327868
cluster	1	28	ZNF595	0.31255914631538595	0.1690932418055058	0.14346590450988014	0.13357400722021495	0.08405341712490251	0.007104516249887011
cluster	1	29	AK4	0.19771049452180184	0.060491331820013074	0.13721916270178877	0.0846369835539502	0.03377847604084835	0.00697876181721047
cluster	1	30	E2F6	0.22687273079637058	0.08840768856179164	0.13846504223457895	0.09987966305655725	0.049803613511390614	0.006933782315212367
cluster	2	1	CCND1	4.3436282157589226	0.2001385662340981	4.143489649524825	0.9999999999999939	0.08357400722021754	3.797201615638515
cluster	2	2	FCRLB	3.0317843931378037	0.06650538546067215	2.9652790076771316	0.9852398523985181	0.029241877256317862	2.8348007270710105
cluster	2	3	MZB1	3.5710586786347736	0.3936112328650198	3.177447445769754	0.9999999999999939	0.1440433212996408	2.719757362425999
cluster	2	4	TXNIP	3.7041718783862003	0.46638181869211326	3.237790059694087	0.992619926199256	0.1755415162454896	2.6455283537389547
cluster	2	5	CXCR4	2.950329703509787	0.30183223532410763	2.6484974681856794	0.9741697416974112	0.12328519855595818	2.2535655582284666
cluster	2	6	SEL1L3	2.7620316106245535	0.18704622801481213	2.5749853826097415	0.9520295202951975	0.08258122743682403	2.2388166450453055
cluster	2	7	DDX5	2.713587570670871	0.26151458471561584	2.452072985955255	0.9778597785977802	0.10712996389891824	2.135093056688904
cluster	2	8	POU2AF1	2.870221209885025	0.4040037531934787	2.4662174566915462	0.9741697416974112	0.1456678700361029	2.0432657787927377
cluster	2	9	SEC11C	2.594587675920337	0.27432492061521346	2.3202627553051234	0.9557195571955664	0.10442238267148138	1.9752331277447202
cluster	2	10	HYOU1	2.4035416228311672	0.17940112141299605	2.224140501418171	0.9557195571955664	0.07409747292418853	1.9608513845726756
cluster	2	11	CRELD2	2.477896428082442	0.2350874649668969	2.242808963115545	0.9630996309963044	0.09557761732852096	1.9456861479541507
cluster	2	12	TXNDC5	3.9711370390715475	1.1450265776420832	2.8261104614294643	0.9999999999999939	0.31435018050541935	1.9377221277508412
cluster	2	13	SEC62	2.375894650034882	0.1799414217057191	2.195953228329163	0.9483394833948285	0.08077617328519945	1.9051284516151747
cluster	2	14	LMAN2	2.425411742958674	0.21657788694733268	2.2088338560113416	0.9446494464944596	0.09106498194945953	1.8854262642523087
cluster	2	15	SORT1	2.17223065970196	0.07501972841971473	2.097210931282245	0.9298892988929838	0.034747292418772814	1.8773016010276373
cluster	2	16	FBXW7	2.793714435163515	0.4698485104253253	2.3238659247381896	0.9630996309963044	0.17256317689530906	1.8371007279486589
cluster	2	17	ST6GAL1	2.3885494576292126	0.24751759964467168	2.141031857984541	0.9520295202951975	0.10027075812274486	1.8236426451286991
cluster	2	18	GLCCI1	2.382926184214371	0.2374590808338405	2.145467103380531	0.9335793357933527	0.09810469314079537	1.7924833615196663
cluster	2	19	XBP1	2.783281768874503	0.5065229151618139	2.276758853712689	0.9557195571955664	0.17274368231047152	1.7826472553880786
cluster	2	20	CLINT1	2.342812334757334	0.231464532825723	2.111347801931611	0.9409594095940906	0.10126353790613837	1.7728900329794062
cluster	2	21	CD38	2.388411604998807	0.27531765818752824	2.113093946811279	0.9409594095940906	0.1085740072202179	1.7589085551703012
cluster	2	22	MANF	2.2566747073813023	0.2233102249760848	2.0333644824052173	0.9298892988929838	0.0871841155234667	1.7135267890023518
cluster	2	23	TMED9	2.245694966996235	0.22834314084354085	2.017351826152694	0.9446494464944596	0.09720216606498308	1.7095993187425385
cluster	2	24	CYBA	2.5361000550249257	0.42663485613226526	2.1094651988926607	0.9520295202951975	0.15370036101083226	1.684047578771604
cluster	2	25	PRDX4	2.051717055482297	0.12028442051211982	1.9314326349701771	0.9225092250922459	0.054422382671480675	1.6766512574396795
cluster	2	26	IFI16	2.2165692651435194	0.2336731637527802	1.9828961013907391	0.9409594095940906	0.09801444043321414	1.6714722930360388
cluster	2	27	SSR4	2.2444785119366606	0.22317698750179601	2.0213015244348647	0.90774907749077	0.08411552346570492	1.6648117583265696
cluster	2	28	CD27	1.9539454941388243	0.06576258624948011	1.8881829078893442	0.911439114391139	0.03231046931407964	1.659955681470421
cluster	2	29	FAM30A	2.0957901036357196	0.16806423774409363	1.927725865891626	0.9188191881918769	0.07680505415162539	1.6231724256357316
cluster	2	30	FCRLA	1.904322499031743	0.06869500567401211	1.835627493357731	0.9003690036900321	0.03068592057761752	1.5964141778692649
cluster	3	1	IGKC	6.646820397903692	1.7675628848347236	4.879257513068969	0.9981308411215037	0.4008875739645105	2.914103698405616
cluster	3	2	S100A8	4.442562000028966	0.7243287424884438	3.718233257540522	0.996261682242999	0.22346523668639648	2.8734374451776628
cluster	3	3	S100A9	4.06962739738574	0.5589753742763672	3.5106520231093725	0.996261682242999	0.17880917159763718	2.8697913102929755
cluster	3	4	IGHG1	4.68747325125443	1.1789392788203483	3.508533972434082	0.9925233644859897	0.2545303254437942	2.589273648899414
cluster	3	5	HBB	3.0640987813166403	0.36939324530565165	2.6947055360109884	0.9869158878504756	0.10900517751479397	2.3657108512649003
cluster	3	6	HBD	3.094064034641117	0.38948895476792905	2.704575079873188	0.971962616822438	0.1318417159763334	2.272170052508988
cluster	3	7	HBA2	5.041069627701425	1.644249391477599	3.3968202362238262	0.996261682242999	0.4112426035503098	1.9872046450803458
cluster	3	8	LYZ	2.472963962811502	0.4018241656585326	2.0711397971529695	0.9308411214953347	0.1407174556213042	1.6364565690641002
cluster	3	9	DEFA3	2.0795276948691725	0.09461593266411653	1.984911762205056	0.8037383177570154	0.03531804733727808	1.5252464330729265
cluster	3	10	HBM	2.0477374049811123	0.15916373238571718	1.8885736725953952	0.8299065420560812	0.06111316568047251	1.4519229302886971
cluster	3	11	SRGN	2.656919685616311	0.6412394944985463	2.015680191117765	0.9233644859813159	0.2065458579881709	1.4448771090699966
cluster	3	12	TMSB4X	3.7221411662131407	1.383820033796692	2.338321132416449	0.996261682242999	0.3805473372781191	1.43973786436333
cluster	3	13	MPO	2.167419704221757	0.2392415164218056	1.9281781877999515	0.8317757009345859	0.08515162721893496	1.4396242534248611
cluster	3	14	HIST1H1B	2.069143090255667	0.1993721612072984	1.8697709290483684	0.8411214953271093	0.08311760355029582	1.4172936409498114
cluster	3	15	AZU1	2.2250997758293045	0.31863813484530545	1.906461640983999	0.8336448598130906	0.10650887573964593	1.386256861415174
cluster	3	16	CA1	1.9244576428018112	0.11754583404164402	1.8069118087601672	0.8093457943925295	0.04641272189349074	1.3785527779921898
cluster	3	17	IFI6	1.9385920622023562	0.20012076275243346	1.7384712994499227	0.8542056074766422	0.08311760355029582	1.3405143641760824
cluster	3	18	HIST1H1C	2.1115722964857055	0.31408465712506817	1.7974876393606374	0.861682242990661	0.1164016272189363	1.3396326947047597
cluster	3	19	DDIT4	2.080044233380427	0.2813163154315621	1.7987279179488649	0.8467289719626234	0.103550295857989	1.336776232733683
cluster	3	20	PRDX2	2.0536270212242806	0.2605469074821696	1.793080113742111	0.8504672897196328	0.10613905325443881	1.334640158902475
cluster	3	21	SLC4A1	1.9303778553033981	0.17564857121588182	1.7547292840875164	0.8018691588785107	0.06832470414201117	1.2871719359061453
cluster	3	22	PFN1	2.1481512084958245	0.43064980959001914	1.7175013989058054	0.8841121495327173	0.15495562130177817	1.2523273572579383
cluster	3	23	TMSB10	2.435045946335209	0.6632896476696469	1.771756298665562	0.9252336448598206	0.22096893491124844	1.2477854357792577
cluster	3	24	TFRC	1.9300210866919272	0.23423726025518582	1.6957838264367413	0.8093457943925295	0.09273298816568085	1.2152204066169365
cluster	3	25	CORO1A	1.8713522008189853	0.24907893402098738	1.622273266797998	0.8467289719626234	0.09809541420118403	1.214488207384258
cluster	3	26	SLC25A39	1.9126701299817364	0.2693690665454631	1.6433010634362732	0.8299065420560812	0.10919008875739752	1.184354114141746
cluster	3	27	STOM	1.8581880208617798	0.27939743792457317	1.5787905829372066	0.8448598130841187	0.11076183431952777	1.1589869758267737
cluster	3	28	CA2	1.7578953264081216	0.1405028070651902	1.6173925193429315	0.7626168224299121	0.05686020710059099	1.1414854701104309
cluster	3	29	AHSP	1.79776094307783	0.1800148691082004	1.6177460739696297	0.7644859813084168	0.06961908284023607	1.1241181969283527
cluster	3	30	SLC25A37	1.7585960658258855	0.18182386336115158	1.576772202464734	0.7813084112149591	0.07331730769230724	1.1163406916268492
cluster	4	1	IGHA1	5.25220168010728	0.7725555803613189	4.4796460997459615	0.8848667672197054	0.18959624011962817	3.1145659049921797
cluster	4	2	JCHAIN	6.004712242588872	1.282812405563539	4.721899837025333	0.9527400703871259	0.315637684255493	3.0083336532434086
cluster	4	3	CD74	1.7149394652168621	0.7262479617335424	0.9886915034833197	0.3846153846153833	0.24054689168980403	0.142439294875167
cluster	4	4	FGFR3	0.9889903225485202	0.25125669535382467	0.7377336271946955	0.2282554047259922	0.08502456740012676	0.1056662051465441
cluster	4	5	COL1A1	1.181910021808491	0.4625351281494877	0.7193748936590033	0.26747109100050187	0.16994232001708653	0.0701597492548877
cluster	4	6	PIM2	1.0370082214781005	0.4444583129555793	0.5925499085225212	0.2383107088989434	0.16011535996581572	0.046334646857211434
cluster	4	7	B2M	1.4161281236021699	0.808992992212899	0.6071351313892709	0.3172448466566103	0.24524674214910747	0.043712578639941185
cluster	4	8	COL3A1	1.1191698317644625	0.5558357800516356	0.5633340517128269	0.25540472599296044	0.20273445844904459	0.029670955220312722
cluster	4	9	COL1A2	0.8321156986143373	0.3664843251713071	0.46563137344303024	0.19155354449472034	0.13853877376628632	0.02468534050704809
cluster	4	10	VIM	1.791522860941222	1.191918543273237	0.5996043176679848	0.3961789844142772	0.36658833582566885	0.017742680656325612
cluster	4	11	UCHL1	0.28122718145780506	0.1199903110847806	0.16123687037302448	0.06686777275012551	0.05073702200384489	0.002600871767097616
cluster	4	12	RGS2	0.3158030961062534	0.18754500597408458	0.12825809013216882	0.0744092508798389	0.06942960905789264	0.0006386793496251018
cluster	4	13	TXNDC5	1.486721105889717	1.1542388739850518	0.3324822319046652	0.3318250377073895	0.3304849391155652	0.00044555897078205
cluster	4	14	KCNN3	0.2710925420104126	0.1387698503169777	0.1323226916934349	0.06385118149824015	0.06184575945310755	0.0002653628429932986
cluster	4	15	CCL3	0.12353704603526353	0.07280426509008149	0.050732780945182035	0.030668677727501203	0.029908139286477353	3.858423012885328e-05
cluster	4	16	ZNF541	0.006081415899009577	0.00163525878794677	0.004446157111062807	0.0015082956259426846	0.0008545182653279214	2.9067968609492024e-06
cluster	4	17	EFR3B	0.0029478543143044225	0.0009387848417142853	0.002009069472590137	0.0005027652086475615	0.0003204443494979705	3.662952723338495e-07
cluster	4	18	CRISP3	0.01594871195067139	0.054373759778835615	-0.03842504782816422	0.0035193564605329308	0.029160435804315418	-0.0
cluster	4	19	CRISP2	0.0016296735797864574	0.031077878731790316	-0.02944820515200386	0.0005027652086475615	0.016129032258064564	-0.0
cluster	4	20	PGK2	0.0061492540735188575	0.05815684207547541	-0.05200758800195655	0.0015082956259426846	0.028305917538987493	-0.0
cluster	4	21	GLYATL3	0.008209785460497481	0.03427112001151979	-0.026061334551022306	0.002011060834590246	0.016769920957060508	-0.0
cluster	4	22	RHAG	0.010986794307259221	0.10243239523419768	-0.09144560092693846	0.0025138260432378077	0.05597094637897826	-0.0
cluster	4	23	C6orf141	0.009296875453368787	0.05356419844356742	-0.04426732299019863	0.0025138260432378077	0.02745139927365957	-0.0
cluster	4	24	DEFB133	0.009327072264244084	0.03148720429589704	-0.022160132031652957	0.0025138260432378077	0.016129032258064564	-0.0
cluster	4	25	CRISP1	0.001865096833409561	0.01928845490783095	-0.01742335807442139	0.0005027652086475615	0.010895107882931026	-0.0
cluster	4	26	MMUT	0.04558852705166698	0.09746224852278687	-0.05187372147111989	0.011060834590246354	0.055009613330484375	-0.0
cluster	4	27	CENPQ	0.016951492078313115	0.05790793515243738	-0.04095644307412427	0.004524886877828054	0.03268532364879306	-0.0
cluster	4	28	DEFB113	0.005574983478189357	0.01785143001834986	-0.012276446540160503	0.0015082956259426846	0.009613330484939139	-0.0
cluster	4	29	PTCHD4	0.015162738782993417	0.04450284259084534	-0.029340103807851924	0.0035193564605329308	0.023819696646015888	-0.0
cluster	4	30	OPN5	0.0024131551073889477	0.03291396070177617	-0.030500805594387222	0.0005027652086475615	0.016663106173894517	-0.0
