gene	variance	detected_spots
P4HB	0.4900394337636487	1048
FCRL2	0.4896129079309197	954
BANF1	0.48951909464689825	1106
LTA4H	0.48935254850426446	1111
RAB11B	0.48864774968134916	1119
COL6A3	0.4877318027128734	797
VCAN	0.48745353966023464	1029
MGAT1	0.487133681630696	1152
NFKB2	0.48679647072282833	918
SIVA1	0.4867356601783193	1143
CLEC7A	0.48628034595343583	700
SH3BGRL3	0.48570791388665546	1020
KCNN3	0.48547670310474705	706
CRTAP	0.4851716823301327	1083
YBX1	0.4850605076161675	1097
ARPC1B	0.48492774088683366	986
DERL1	0.4847057477881083	1041
STK4	0.48461584177561745	1162
CALU	0.48426481011724004	1068
RESF1	0.48247714770371136	1142
AKR1B1	0.4821361470841646	1058
MXRA7	0.48197360419951	1066
LCN2	0.4818803343622104	978
CHID1	0.48186104235093885	1088
A2M	0.4815941094785349	835
LASP1	0.48064106682773095	1114
MACF1	0.4795612213843148	1091
TSPO	0.4791166586468622	1038
MAP2K2	0.4789324349841698	1157
SERPINB1	0.4787438519898296	1014
N4BP2L2	0.47823387632228004	1118
FBXO7	0.4776859191790116	1102
TOP1	0.47757086473048044	1118
GAS6	0.47740385461191565	846
HDLBP	0.4773400305747374	1063
PDE4D	0.47720949046544936	1115
CHTOP	0.4764348402962141	1120
MSTO1	0.4759429137040333	1136
NDUFV1	0.47592356645979317	1099
DST	0.4740297739054634	1021
STT3A	0.47394930318904144	1041
STAG1	0.4721868656428657	1140
CDKN1B	0.47127219822208655	1042
C9orf16	0.47082463288437904	1076
TPP1	0.4704531595950916	1112
G3BP2	0.47023929225098127	1060
AKAP9	0.46995772099042965	1095
TMED4	0.4699187764528794	1075
LMAN1	0.4698032897390148	1074
SELENOP	0.4695373147474848	941
CD53	0.469516487862751	1023
PRTN3	0.468503338975042	825
CKLF	0.4681990726985653	1039
ACYP2	0.4679860636472242	1085
MARCH7	0.4666302487663057	1115
CNDP2	0.466508255137108	1071
NAA38	0.4664624895150006	1158
EMP3	0.46626868808739064	870
MGST3	0.46626095248142674	1092
SOD2	0.46562754699158454	999
RAP2B	0.4654481278557725	1024
GNL3	0.46508692865087253	1055
TAGLN	0.4650515991383641	925
INTS4	0.46494741833404807	1149
ANAPC11	0.4649339044806533	1070
P2RX1	0.46469049979216115	948
FKBP11	0.4643554211333693	1025
ZBTB38	0.4634490160347137	995
METTL9	0.46344717386688444	988
UCHL1	0.46325841525268135	608
ASS1	0.4632068704615945	975
LUC7L2	0.46217787745552585	1135
SEC11A	0.4620048118089211	1002
RABL6	0.4619034764866695	1037
SRSF2	0.46071990083066017	1076
LAPTM5	0.4606511739819423	1019
CCDC50	0.46014687482750927	899
ATP8B2	0.4598727704027578	960
TAP2	0.45887572685992256	968
C19orf25	0.4587500365669595	1067
SEC31A	0.4585237222475368	987
MPV17	0.45845475245295514	1087
DNAJB9	0.45836980553988826	872
GRK2	0.45831710651537183	1039
CCDC85B	0.4582835998512297	1034
FIS1	0.4577400022382877	1064
PNISR	0.4573953763911623	1032
ARL6IP4	0.4573496370558554	1083
PSMB10	0.4573454195566401	1027
DPP7	0.45669955380644195	1092
PRKD3	0.4566972299968091	1017
PRKAR1A	0.4555061574125763	927
PPP1R12B	0.45378503108505175	1130
ANAPC5	0.45332254896356333	1026
CD47	0.4529667029010753	1056
KDM2A	0.45273758096882183	1003
QKI	0.4527253927656977	1073
NELFCD	0.4523325639542581	1077
LITAF	0.4517125150334288	1067
HNRNPUL2	0.4512519420528883	1065
ETNK1	0.4505511712655714	1099
TPM2	0.44992013014724097	955
ADI1	0.4492761949081225	1041
VPS13C	0.44927267126275156	1071
PHPT1	0.44911826835851015	977
PNPLA2	0.44890325321698743	1062
WDR83OS	0.4485397251392784	1003
PDCD4	0.4478407694319809	1079
HAGH	0.44721645305755636	1050
MRTFA	0.4471051333564372	983
MAP2K3	0.4469148896188984	1058
UAP1	0.4468715774031247	941
SP100	0.44678334116297375	1042
RNF19A	0.44610311438413963	924
SMAP2	0.4458170449174178	1048
LGMN	0.44550447969968043	903
