comparison	label	rank	gene	mean_in_log_norm	mean_out_log_norm	log_norm_difference	pct_in	pct_out	score
group	MM	17	UBA52	0.6761774883709949	0.12108029778962527	0.5550971905813696	0.24764542936287173	0.048414427499394924	0.11059256941112759
group	MM	18	COL3A1	0.8735967848892021	0.2717004554158563	0.6018963294733458	0.27617728531855423	0.09973372064875256	0.10620073393394654
group	MM	19	SRGN	0.9527330853414578	0.3578711033976525	0.5948619819438054	0.3026315789473671	0.1314451706608554	0.10183228611515581
group	MM	20	CYBA	0.6735506097599625	0.13346935811918081	0.5400812516407817	0.24113573407201333	0.053255870249334425	0.10147039201145204
group	MM	21	FBXW7	0.7218426207186821	0.18187227931567504	0.539970341403007	0.2590027700830946	0.07334785766158304	0.10024814644338896
group	MM	22	COL1A2	0.6506940094925113	0.09394665414228097	0.5567473553502303	0.2112188365650896	0.0370370370370371	0.09697525623738724
group	MM	23	DERL3	0.5547332969638069	0.059914848754466885	0.49481844820934	0.20554016620497909	0.026385862987170196	0.08864885430826176
group	MM	24	EEF2	0.6088786948998423	0.12260773317967136	0.4862709617201709	0.22908587257616905	0.0496247881868798	0.08726671409732444
group	MM	25	FRZB	0.5000161795764465	0.043794199861071456	0.45622197971537504	0.19307479224376087	0.02081820382473977	0.07858724178754234
group	MM	26	FTL	0.5843588834068567	0.1299680605446964	0.4543908228621603	0.21869806094182054	0.053255870249334425	0.0751754131648772
group	MM	27	TENT5C	0.5234374471724152	0.08499669789099658	0.4384407492814187	0.20554016620497909	0.0370370370370371	0.07387863820865616
group	MM	28	CLPTM1L	0.486484428283857	0.0535553374201578	0.43292909086369924	0.19362880886425946	0.024933430162188346	0.07303313693439509
group	MM	29	TMSB10	0.9223063654145001	0.4400480397462032	0.48225832566829685	0.30831024930747875	0.1595255386105037	0.07175266546576513
group	MM	30	IL2RG	0.48183018527638705	0.04420769372628798	0.4376224915500991	0.18213296398891377	0.019123698862260945	0.07133652075047649
group	control	1	HBA2	2.1153508288046803	1.6264071184556603	0.48894371034901996	0.5129508593561043	0.3963988919667718	0.056987351383818205
group	control	2	USP17L3	0.5923226035739529	0.21776849741740953	0.3745541061565434	0.21980150084724875	0.09293628808864117	0.047517886367159964
group	control	3	MT-ND5	2.1470270475950177	1.609608202928613	0.5374188446664048	0.5449043815057004	0.4587257617728754	0.04631401425176026
group	control	4	TAF11L6	0.6416500035580226	0.2773007439569444	0.3643492596010782	0.23602033405954562	0.12119113573406913	0.04183793339047273
group	control	5	FOS	0.6338049598586805	0.2710550273421518	0.36274993251652865	0.21762285160977604	0.1090027700831002	0.0394019272437415
group	control	6	MT-ND3	2.0098197819445467	1.56229655600546	0.44752322593908667	0.5238441055434666	0.4488919667590235	0.03354282293984812
group	control	7	AZU1	0.6306397399558	0.28139136853159225	0.3492483714242078	0.20164609053497615	0.10595567867035798	0.03341972050462959
group	control	8	TAF11L4	0.3588498094130041	0.10363164921788295	0.2552181601951211	0.14403292181069774	0.04639889196675902	0.02491797746920559
group	control	9	FOSB	0.397220302711361	0.1456728650816873	0.2515474376296737	0.14693778746066136	0.07063711911357302	0.01919323761214162
group	control	10	TAF11L8	0.3849498735938142	0.17313873622122694	0.21181113737258728	0.1527475187605886	0.08171745152354477	0.015044959329129599
group	control	11	FAM90A1	0.3539201968106419	0.14856140938182305	0.20535878742881886	0.14693778746066136	0.07797783933517931	0.014161531328203244
group	control	12	EGR1	0.2875011453674517	0.08174978724218825	0.20575135812526346	0.1048172355361889	0.03878116343490306	0.013587011520097383
group	control	13	USP17L15	0.516798665831747	0.36923183745745053	0.14756682837429652	0.21278140885983668	0.1588642659279731	0.00795638177745873
