analysis_type	feature	score	n	n_feature_0	n_feature_1	effect	effect_label	statistic	p_value	fdr
ordinal_spearman	IMWG_Risk_Class	plasma_secretory_score_z	630			0.13419716247101496	spearman_rho	0.13419716247101496	0.0007330261845371199	0.002872265865941368
ordinal_spearman	IMWG_Risk_Class	clinical_subtype_module_score_z	630			0.046878388651893345	spearman_rho	0.046878388651893345	0.24001572271405092	0.3544847597007521
ordinal_spearman	IMWG_Risk_Class	TXNDC5_z	630			0.016692411605241615	spearman_rho	0.016692411605241615	0.6758204302893641	0.7816718229852886
ordinal_spearman	IMWG_Risk_Class	POU2AF1_z	630			0.060580272431519845	spearman_rho	0.060580272431519845	0.1287805377870623	0.2141729612123303
ordinal_spearman	IMWG_Risk_Class	XBP1_z	630			0.05715620154645667	spearman_rho	0.05715620154645667	0.15187733324727376	0.24504578137375263
ordinal_spearman	IMWG_Risk_Class	JCHAIN_z	630			-0.046085637785817535	spearman_rho	-0.046085637785817535	0.24806713690057097	0.3635793151519819
ordinal_spearman	TP53_Funct_Copies	plasma_secretory_score_z	648			-0.06965372759445046	spearman_rho	-0.06965372759445046	0.07642386677490248	0.14282508258777296
ordinal_spearman	TP53_Funct_Copies	clinical_subtype_module_score_z	648			-0.1202548127575861	spearman_rho	-0.1202548127575861	0.0021664454931472595	0.00717168163248748
ordinal_spearman	TP53_Funct_Copies	TXNDC5_z	648			0.07569897570443523	spearman_rho	0.07569897570443523	0.054101249077917614	0.11290695459739328
ordinal_spearman	TP53_Funct_Copies	POU2AF1_z	648			-0.07676640468445176	spearman_rho	-0.07676640468445176	0.050788354805208095	0.10815299595295536
ordinal_spearman	TP53_Funct_Copies	XBP1_z	648			-0.0943338422058279	spearman_rho	-0.0943338422058279	0.016302597671877566	0.042298631797303955
ordinal_spearman	TP53_Funct_Copies	JCHAIN_z	648			-0.06181445669197499	spearman_rho	-0.06181445669197499	0.11594947537343732	0.19701149797964573
ordinal_spearman	TP53_NS_Mut_Count	plasma_secretory_score_z	681			0.05803107128439931	spearman_rho	0.05803107128439931	0.13031254721395677	0.2141729612123303
ordinal_spearman	TP53_NS_Mut_Count	clinical_subtype_module_score_z	681			0.07253683688178508	spearman_rho	0.07253683688178508	0.05849965124609418	0.11609491500304724
ordinal_spearman	TP53_NS_Mut_Count	TXNDC5_z	681			-0.019204722293937874	spearman_rho	-0.019204722293937874	0.616869880840474	0.7311050439590803
ordinal_spearman	TP53_NS_Mut_Count	POU2AF1_z	681			0.05800107935400662	spearman_rho	0.05800107935400662	0.13051164823876377	0.2141729612123303
ordinal_spearman	TP53_NS_Mut_Count	XBP1_z	681			0.014235396353790513	spearman_rho	0.014235396353790513	0.7107694378836564	0.8068486385616831
ordinal_spearman	TP53_NS_Mut_Count	JCHAIN_z	681			0.06344861916770816	spearman_rho	0.06344861916770816	0.09805050909283136	0.17114270678021476
ordinal_spearman	Serum_Albumin	plasma_secretory_score_z	755			-0.014404215290982802	spearman_rho	-0.014404215290982802	0.6927298744990948	0.7916912851418226
ordinal_spearman	Serum_Albumin	clinical_subtype_module_score_z	755			0.007726015763133157	spearman_rho	0.007726015763133157	0.832152914248083	0.8898992308524146
