file_id	file_name	data_category	data_type	data_format	experimental_strategy	access	case_projects
c31f6351-d7a6-4007-9b1c-d4b73d40720d	5cce5074-4cba-45fe-946e-1a73e59e2394.wxs.aliquot_ensemble_masked.maf.gz	Simple Nucleotide Variation	Masked Somatic Mutation	MAF	WXS	open	MMRF-COMMPASS
7fd993e3-b96d-432b-93ed-ebaf9e6d8072	9d6ae030-a518-4a67-8f94-3bd7469fea4b.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TSV	RNA-Seq	open	MMRF-COMMPASS
3935a775-344b-4ca2-9e7a-47bf8145c548	36dfa3e4-ef03-44e1-9f41-b5bf2475e21c.wxs.aliquot_ensemble_masked.maf.gz	Simple Nucleotide Variation	Masked Somatic Mutation	MAF	WXS	open	MMRF-COMMPASS
5f67bfa0-9201-4dfe-9a04-80554f2d1978	06bde93c-6c64-4797-be65-c9ba51b9c0e9.wxs.aliquot_ensemble_masked.maf.gz	Simple Nucleotide Variation	Masked Somatic Mutation	MAF	WXS	open	MMRF-COMMPASS
b53a5eff-64df-405d-8f5e-62578ff63a00	680e5e46-a847-46f2-ae93-95832e89690c_wgs_gdc_realn.cr.igv.reheader.seg.txt	Copy Number Variation	Copy Number Segment	TXT	WGS	open	MMRF-COMMPASS
71925d8e-68ec-48cf-bc7d-7c6edf91af21	7b0d0cca-5d92-411a-baa2-949d908744ea.wxs.aliquot_ensemble_masked.maf.gz	Simple Nucleotide Variation	Masked Somatic Mutation	MAF	WXS	open	MMRF-COMMPASS
8a29f162-fac2-4e76-84ff-adca66b5356d	1cce4697-3321-4224-adc5-cf0b81365ff2.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TSV	RNA-Seq	open	MMRF-COMMPASS
491b5d1a-073e-49e7-835d-18c3b127369f	faba417d-90a8-43fe-9ac6-465d1344bf7f.wxs.aliquot_ensemble_masked.maf.gz	Simple Nucleotide Variation	Masked Somatic Mutation	MAF	WXS	open	MMRF-COMMPASS
15384f9d-678b-4dd1-9841-28eaeb62d265	b90763bf-c23c-43a5-92f6-68872928c25d.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TSV	RNA-Seq	open	MMRF-COMMPASS
20902790-879c-482f-99e8-825e86dacab7	09d4d8b2-2ccd-4342-8a37-3ea72a2037d8_wgs_gdc_realn.cr.igv.reheader.seg.txt	Copy Number Variation	Copy Number Segment	TXT	WGS	open	MMRF-COMMPASS
8add83ba-abdc-42d7-a782-56a88442a930	9c2fd770-dbc0-485a-926c-3dbc580ca103_wgs_gdc_realn.cr.igv.reheader.seg.txt	Copy Number Variation	Copy Number Segment	TXT	WGS	open	MMRF-COMMPASS
966d7a26-6e74-4970-925b-7ddd98b174b9	5224a53f-c8a9-433e-b522-8852990807b2.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TSV	RNA-Seq	open	MMRF-COMMPASS
adce8982-3638-46fb-be25-f528c16c35f7	14605791-a646-4af6-b8d7-c12b35b8a1a0.wxs.aliquot_ensemble_masked.maf.gz	Simple Nucleotide Variation	Masked Somatic Mutation	MAF	WXS	open	MMRF-COMMPASS
7f33aea8-814e-4529-80c5-ad8baa8b1689	4abe76f5-7c8b-4a76-a19f-11306403d96f_wgs_gdc_realn.cr.igv.reheader.seg.txt	Copy Number Variation	Copy Number Segment	TXT	WGS	open	MMRF-COMMPASS
c2fb48fe-c314-43c4-99be-429fe27c27f7	e09b2bef-2da7-424a-84f4-64d780b4d0a3_wgs_gdc_realn.cr.igv.reheader.seg.txt	Copy Number Variation	Copy Number Segment	TXT	WGS	open	MMRF-COMMPASS
dc98573e-4e65-44e5-919c-8b15e21709eb	799fdff6-d335-49f9-b850-a5e334637f86.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TSV	RNA-Seq	open	MMRF-COMMPASS
751739ef-0118-4ad3-99e7-4e7c2e368c26	e33b3ff1-101a-4de2-8325-26a92b0f7b02.wxs.aliquot_ensemble_masked.maf.gz	Simple Nucleotide Variation	Masked Somatic Mutation	MAF	WXS	open	MMRF-COMMPASS
33da8189-13e3-41a2-a66a-c3544b3d3527	1a11c15a-f21f-4fad-b848-17ff9b0fd48d.wxs.aliquot_ensemble_masked.maf.gz	Simple Nucleotide Variation	Masked Somatic Mutation	MAF	WXS	open	MMRF-COMMPASS
99584cd9-55fa-4c7d-9df3-64ec8c54d943	58776593-d40d-4946-a5d8-1d3afbef05c0.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TSV	RNA-Seq	open	MMRF-COMMPASS
e2d714bd-9b9d-4349-a97d-75a201cf04f2	59ab7199-984c-4788-8626-0707eee79728_wgs_gdc_realn.cr.igv.reheader.seg.txt	Copy Number Variation	Copy Number Segment	TXT	WGS	open	MMRF-COMMPASS
1178797e-aac0-4d31-a570-b967af1a58d5	53a20908-33e5-4b00-83e3-a88b7f0218d9_wgs_gdc_realn.cr.igv.reheader.seg.txt	Copy Number Variation	Copy Number Segment	TXT	WGS	open	MMRF-COMMPASS
867dc8a8-378d-4369-b9d7-77e6d57f4e82	a12ceb84-0987-440c-9869-9291b6bb854e.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TSV	RNA-Seq	open	MMRF-COMMPASS
84014b44-3cf3-472b-90dd-27aed7d68390	e068edc8-347f-4776-beab-705ed464e2c8.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TSV	RNA-Seq	open	MMRF-COMMPASS
59a55326-a2b6-452f-83fa-96ab9c241b40	246192f3-49a5-4409-8b73-cc2f1f56daff.wxs.aliquot_ensemble_masked.maf.gz	Simple Nucleotide Variation	Masked Somatic Mutation	MAF	WXS	open	MMRF-COMMPASS
